FSC-A,FSC-H,SSC-A,SSC-H,Live/ Dead,IgM,CD27,HLA-DR,CD19,CD24,CD23,CD21,Time,file_name,event_id
116126.7188,103630,71321.35938,64990,1443.300049,129.2700043,196.2299957,210.1800079,-203.6699982,742.9199829,328,7307.02002,143.2998047,Bcells2,1402_Bcells2
129718.3047,113230,62262.64063,56618,-72.25,299.4599915,353.3999939,2469.149902,677.9700317,150.8800049,255.8399963,52.47999954,143.5,Bcells2,1404_Bcells2
119330.9219,104170,72940.5625,65786,1598.850098,214.8300018,206.4600067,699.3599854,105.090004,833.1199951,369.8200073,8169.660156,143.7001953,Bcells2,1405_Bcells2
180858.9688,146602,128862.7969,109102,1081.200073,438.0299988,442.6799927,17770.43945,5936.189941,708.4799805,2020.47998,1858.119995,144.2998047,Bcells2,1407_Bcells2
171236.75,141092,88554.39844,76624,1127.099976,404.5500183,352.4700012,4939.22998,695.6400146,232.8800049,742.0999756,625.6599731,146.0996094,Bcells2,1420_Bcells2
75794.5,69951,64409.83984,58699,33448.35156,400.8300171,265.0499878,822.1199951,690.9899902,811.7999878,277.1600037,9988.419922,146.7998047,Bcells2,1426_Bcells2
39712.10156,31631,49170.87891,34251,-251.6000061,46.5,105.090004,16.73999977,-239.0099945,148.4199982,104.1399994,336.2000122,154.5996094,Bcells2,1481_Bcells2
25127.43945,24220,19757.75977,19388,840.6500244,-57.65999985,-14.88000011,-61.38000107,-138.5700073,80.36000061,44.27999878,278.7999878,156.7001953,Bcells2,1502_Bcells2
120671.0625,103001,52396.96094,45737,1471.350098,343.1700134,1674,6697.859863,202845.0938,132.8399963,1480.099976,1048.780029,157.7998047,Bcells2,1511_Bcells2
132353.4375,117838,70900.71875,62238,304.3000183,238.0800018,190.6499939,1876.73999,902.1000366,117.2600021,199.2599945,61.5,157.8994141,Bcells2,1515_Bcells2
128321.1797,112467,47802.48047,44199,-41.65000153,318.9899902,199.9499969,632.4000244,542.1900024,155.8000031,332.9199829,153.3399963,158.2001953,Bcells2,1519_Bcells2
116561.8438,102490,53447.67969,49838,605.2000122,152.5200043,884.4299927,1459.170044,757.0200195,-15.57999992,159.0800018,34.43999863,158.5,Bcells2,1524_Bcells2
26212.28125,25254,18494.08008,18082,96.05000305,-22.31999969,-5.579999924,-26.96999931,-120.9000015,54.93999863,159.8999939,192.6999969,158.7001953,Bcells2,1527_Bcells2
188090.9844,145290,114563.6797,96154,2175.150146,449.1900024,333.8699951,16175.49023,81412.20313,1180.800049,1980.299927,6027.819824,159.3994141,Bcells2,1537_Bcells2
122941.3828,106699,48259.19922,44943,159.8000031,240.8699951,1275.959961,1208.070068,538.4700317,38.54000092,136.9400024,71.33999634,159.8994141,Bcells2,1542_Bcells2
